80 3160
0 1 71
0 2 46
0 3 70
0 4 70
0 5 31
0 6 35
0 7 16
0 8 26
0 9 90
0 10 35
0 11 48
0 12 37
0 13 89
0 14 93
0 15 19
0 16 96
0 17 95
0 18 80
0 19 69
0 20 44
0 21 48
0 22 82
0 23 87
0 24 100
0 25 49
0 26 99
0 27 96
0 28 72
0 29 89
0 30 81
0 31 84
0 32 62
0 33 84
0 34 42
0 35 91
0 36 72
0 37 36
0 38 57
0 39 44
0 40 90
0 41 43
0 42 77
0 43 14
0 44 82
0 45 71
0 46 25
0 47 25
0 48 68
0 49 7
0 50 55
0 51 23
0 52 76
0 53 86
0 54 39
0 55 39
0 56 14
0 57 27
0 58 49
0 59 52
0 60 86
0 61 4
0 62 46
0 63 61
0 64 44
0 65 5
0 66 17
0 67 92
0 68 67
0 69 96
0 70 17
0 71 9
0 72 57
0 73 93
0 74 73
0 75 95
0 76 78
0 77 33
0 78 59
0 79 10
1 2 25
1 3 97
1 4 5
1 5 9
1 6 100
1 7 36
1 8 95
1 9 22
1 10 46
1 11 26
1 12 53
1 13 61
1 14 25
1 15 2
1 16 62
1 17 95
1 18 69
1 19 32
1 20 13
1 21 3
1 22 98
1 23 16
1 24 86
1 25 27
1 26 96
1 27 75
1 28 80
1 29 89
1 30 76
1 31 81
1 32 65
1 33 58
1 34 25
1 35 17
1 36 15
1 37 90
1 38 53
1 39 5
1 40 80
1 41 98
1 42 35
1 43 35
1 44 39
1 45 63
1 46 97
1 47 41
1 48 77
1 49 42
1 50 75
1 51 76
1 52 57
1 53 81
1 54 61
1 55 65
1 56 24
1 57 41
1 58 8
1 59 46
1 60 96
1 61 59
1 62 74
1 63 100
1 64 94
1 65 66
1 66 87
1 67 94
1 68 12
1 69 18
1 70 50
1 71 47
1 72 77
1 73 35
1 74 85
1 75 35
1 76 9
1 77 11
1 78 11
1 79 27
2 3 73
2 4 27
2 5 58
2 6 87
2 7 28
2 8 17
2 9 79
2 10 14
2 11 46
2 12 63
2 13 60
2 14 56
2 15 39
2 16 94
2 17 58
2 18 42
2 19 89
2 20 62
2 21 79
2 22 10
2 23 76
2 24 50
2 25 70
2 26 90
2 27 87
2 28 37
2 29 77
2 30 42
2 31 61
2 32 43
2 33 58
2 34 45
2 35 38
2 36 18
2 37 1
2 38 12
2 39 46
2 40 1
2 41 71
2 42 52
2 43 45
2 44 9
2 45 69
2 46 15
2 47 66
2 48 84
2 49 66
2 50 35
2 51 8
2 52 20
2 53 70
2 54 48
2 55 12
2 56 98
2 57 73
2 58 55
2 59 36
2 60 33
2 61 22
2 62 38
2 63 48
2 64 53
2 65 59
2 66 1
2 67 85
2 68 72
2 69 10
2 70 87
2 71 21
2 72 77
2 73 90
2 74 25
2 75 98
2 76 6
2 77 5
2 78 96
2 79 61
3 4 61
3 5 40
3 6 99
3 7 46
3 8 9
3 9 60
3 10 90
3 11 73
3 12 97
3 13 27
3 14 45
3 15 82
3 16 59
3 17 42
3 18 3
3 19 94
3 20 75
3 21 98
3 22 47
3 23 82
3 24 12
3 25 70
3 26 42
3 27 72
3 28 38
3 29 15
3 30 74
3 31 19
3 32 79
3 33 66
3 34 95
3 35 40
3 36 94
3 37 78
3 38 56
3 39 24
3 40 14
3 41 35
3 42 32
3 43 62
3 44 83
3 45 55
3 46 99
3 47 8
3 48 89
3 49 64
3 50 25
3 51 98
3 52 71
3 53 22
3 54 32
3 55 60
3 56 16
3 57 26
3 58 94
3 59 90
3 60 12
3 61 75
3 62 71
3 63 45
3 64 49
3 65 100
3 66 39
3 67 20
3 68 11
3 69 26
3 70 48
3 71 33
3 72 50
3 73 81
3 74 72
3 75 53
3 76 39
3 77 67
3 78 80
3 79 100
4 5 59
4 6 1
4 7 92
4 8 17
4 9 38
4 10 71
4 11 48
4 12 53
4 13 58
4 14 87
4 15 40
4 16 54
4 17 16
4 18 7
4 19 37
4 20 36
4 21 78
4 22 19
4 23 24
4 24 62
4 25 84
4 26 94
4 27 64
4 28 62
4 29 23
4 30 43
4 31 11
4 32 5
4 33 37
4 34 88
4 35 76
4 36 21
4 37 53
4 38 25
4 39 39
4 40 73
4 41 5
4 42 90
4 43 66
4 44 39
4 45 7
4 46 94
4 47 38
4 48 63
4 49 96
4 50 43
4 51 27
4 52 36
4 53 13
4 54 72
4 55 71
4 56 69
4 57 27
4 58 76
4 59 76
4 60 2
4 61 64
4 62 95
4 63 7
4 64 72
4 65 9
4 66 47
4 67 80
4 68 78
4 69 80
4 70 32
4 71 98
4 72 31
4 73 94
4 74 79
4 75 39
4 76 53
4 77 22
4 78 74
4 79 46
5 6 31
5 7 99
5 8 23
5 9 61
5 10 77
5 11 6
5 12 70
5 13 40
5 14 68
5 15 26
5 16 83
5 17 10
5 18 18
5 19 89
5 20 18
5 21 29
5 22 7
5 23 87
5 24 68
5 25 97
5 26 37
5 27 10
5 28 80
5 29 76
5 30 44
5 31 46
5 32 69
5 33 94
5 34 29
5 35 62
5 36 47
5 37 58
5 38 50
5 39 41
5 40 31
5 41 88
5 42 44
5 43 74
5 44 44
5 45 28
5 46 66
5 47 4
5 48 36
5 49 68
5 50 23
5 51 36
5 52 17
5 53 80
5 54 22
5 55 63
5 56 72
5 57 2
5 58 36
5 59 94
5 60 43
5 61 12
5 62 67
5 63 45
5 64 38
5 65 82
5 66 25
5 67 10
5 68 11
5 69 57
5 70 23
5 71 55
5 72 59
5 73 70
5 74 80
5 75 82
5 76 68
5 77 80
5 78 5
5 79 52
6 7 7
6 8 78
6 9 59
6 10 33
6 11 10
6 12 69
6 13 82
6 14 1
6 15 29
6 16 42
6 17 74
6 18 23
6 19 72
6 20 56
6 21 78
6 22 15
6 23 37
6 24 33
6 25 83
6 26 46
6 27 97
6 28 15
6 29 83
6 30 19
6 31 62
6 32 78
6 33 94
6 34 90
6 35 45
6 36 57
6 37 62
6 38 68
6 39 31
6 40 97
6 41 66
6 42 36
6 43 67
6 44 14
6 45 38
6 46 84
6 47 83
6 48 8
6 49 85
6 50 12
6 51 2
6 52 63
6 53 92
6 54 29
6 55 10
6 56 68
6 57 97
6 58 83
6 59 16
6 60 83
6 61 30
6 62 35
6 63 6
6 64 26
6 65 10
6 66 28
6 67 66
6 68 14
6 69 92
6 70 14
6 71 23
6 72 75
6 73 43
6 74 33
6 75 100
6 76 77
6 77 81
6 78 51
6 79 60
7 8 1
7 9 38
7 10 78
7 11 60
7 12 48
7 13 28
7 14 4
7 15 87
7 16 85
7 17 80
7 18 53
7 19 15
7 20 45
7 21 28
7 22 59
7 23 14
7 24 72
7 25 84
7 26 82
7 27 12
7 28 34
7 29 66
7 30 61
7 31 5
7 32 23
7 33 91
7 34 3
7 35 86
7 36 15
7 37 56
7 38 7
7 39 30
7 40 26
7 41 19
7 42 18
7 43 82
7 44 64
7 45 74
7 46 48
7 47 35
7 48 28
7 49 71
7 50 19
7 51 36
7 52 54
7 53 75
7 54 87
7 55 37
7 56 17
7 57 94
7 58 39
7 59 56
7 60 11
7 61 21
7 62 2
7 63 97
7 64 40
7 65 21
7 66 80
7 67 2
7 68 76
7 69 23
7 70 12
7 71 22
7 72 9
7 73 15
7 74 40
7 75 42
7 76 86
7 77 34
7 78 2
7 79 16
8 9 82
8 10 83
8 11 96
8 12 60
8 13 95
8 14 6
8 15 49
8 16 29
8 17 93
8 18 50
8 19 46
8 20 24
8 21 46
8 22 56
8 23 22
8 24 31
8 25 92
8 26 56
8 27 16
8 28 33
8 29 80
8 30 80
8 31 28
8 32 91
8 33 75
8 34 59
8 35 50
8 36 90
8 37 50
8 38 22
8 39 71
8 40 51
8 41 67
8 42 54
8 43 90
8 44 78
8 45 4
8 46 48
8 47 36
8 48 100
8 49 14
8 50 70
8 51 32
8 52 86
8 53 29
8 54 28
8 55 66
8 56 98
8 57 30
8 58 91
8 59 37
8 60 21
8 61 96
8 62 58
8 63 26
8 64 100
8 65 93
8 66 63
8 67 24
8 68 92
8 69 47
8 70 64
8 71 100
8 72 47
8 73 15
8 74 41
8 75 36
8 76 9
8 77 23
8 78 40
8 79 81
9 10 10
9 11 28
9 12 78
9 13 24
9 14 28
9 15 48
9 16 38
9 17 56
9 18 80
9 19 19
9 20 61
9 21 69
9 22 37
9 23 3
9 24 2
9 25 51
9 26 73
9 27 42
9 28 41
9 29 32
9 30 80
9 31 63
9 32 35
9 33 33
9 34 3
9 35 53
9 36 38
9 37 24
9 38 48
9 39 43
9 40 99
9 41 71
9 42 87
9 43 70
9 44 36
9 45 88
9 46 52
9 47 35
9 48 12
9 49 11
9 50 59
9 51 22
9 52 4
9 53 1
9 54 54
9 55 43
9 56 33
9 57 13
9 58 58
9 59 56
9 60 73
9 61 17
9 62 73
9 63 26
9 64 100
9 65 68
9 66 91
9 67 20
9 68 57
9 69 47
9 70 47
9 71 38
9 72 35
9 73 79
9 74 1
9 75 19
9 76 78
9 77 86
9 78 60
9 79 9
10 11 79
10 12 63
10 13 19
10 14 68
10 15 85
10 16 21
10 17 68
10 18 44
10 19 35
10 20 43
10 21 71
10 22 90
10 23 51
10 24 48
10 25 44
10 26 28
10 27 41
10 28 94
10 29 22
10 30 84
10 31 12
10 32 62
10 33 49
10 34 94
10 35 5
10 36 17
10 37 49
10 38 53
10 39 81
10 40 83
10 41 85
10 42 70
10 43 51
10 44 9
10 45 38
10 46 20
10 47 59
10 48 75
10 49 65
10 50 66
10 51 63
10 52 63
10 53 47
10 54 27
10 55 23
10 56 28
10 57 27
10 58 43
10 59 83
10 60 76
10 61 21
10 62 95
10 63 60
10 64 68
10 65 85
10 66 5
10 67 89
10 68 29
10 69 11
10 70 100
10 71 81
10 72 33
10 73 40
10 74 17
10 75 6
10 76 11
10 77 6
10 78 84
10 79 53
11 12 30
11 13 63
11 14 59
11 15 66
11 16 4
11 17 53
11 18 24
11 19 88
11 20 4
11 21 8
11 22 62
11 23 28
11 24 60
11 25 84
11 26 38
11 27 90
11 28 18
11 29 72
11 30 94
11 31 4
11 32 65
11 33 79
11 34 12
11 35 10
11 36 31
11 37 68
11 38 23
11 39 36
11 40 4
11 41 85
11 42 57
11 43 62
11 44 74
11 45 8
11 46 91
11 47 94
11 48 13
11 49 92
11 50 69
11 51 65
11 52 69
11 53 49
11 54 73
11 55 1
11 56 7
11 57 99
11 58 30
11 59 31
11 60 74
11 61 77
11 62 24
11 63 47
11 64 29
11 65 20
11 66 9
11 67 76
11 68 79
11 69 86
11 70 43
11 71 54
11 72 6
11 73 43
11 74 79
11 75 80
11 76 40
11 77 81
11 78 33
11 79 23
12 13 86
12 14 86
12 15 4
12 16 69
12 17 46
12 18 14
12 19 26
12 20 6
12 21 84
12 22 50
12 23 57
12 24 31
12 25 73
12 26 100
12 27 19
12 28 67
12 29 4
12 30 21
12 31 47
12 32 62
12 33 9
12 34 90
12 35 98
12 36 77
12 37 34
12 38 67
12 39 88
12 40 31
12 41 29
12 42 82
12 43 100
12 44 29
12 45 7
12 46 1
12 47 53
12 48 82
12 49 48
12 50 72
12 51 75
12 52 16
12 53 58
12 54 91
12 55 97
12 56 61
12 57 28
12 58 26
12 59 38
12 60 96
12 61 70
12 62 56
12 63 53
12 64 88
12 65 73
12 66 13
12 67 47
12 68 65
12 69 50
12 70 64
12 71 71
12 72 48
12 73 32
12 74 14
12 75 65
12 76 62
12 77 51
12 78 71
12 79 69
13 14 57
13 15 64
13 16 25
13 17 17
13 18 78
13 19 83
13 20 9
13 21 45
13 22 40
13 23 41
13 24 88
13 25 51
13 26 89
13 27 7
13 28 20
13 29 53
13 30 3
13 31 25
13 32 1
13 33 5
13 34 37
13 35 24
