120 7140
0 1 11
0 2 44
0 3 4
0 4 18
0 5 19
0 6 30
0 7 17
0 8 26
0 9 20
0 10 76
0 11 72
0 12 5
0 13 27
0 14 67
0 15 17
0 16 100
0 17 62
0 18 34
0 19 11
0 20 11
0 21 77
0 22 13
0 23 63
0 24 29
0 25 5
0 26 63
0 27 90
0 28 74
0 29 41
0 30 92
0 31 8
0 32 61
0 33 59
0 34 69
0 35 80
0 36 88
0 37 49
0 38 68
0 39 15
0 40 22
0 41 3
0 42 79
0 43 68
0 44 89
0 45 35
0 46 68
0 47 33
0 48 73
0 49 83
0 50 89
0 51 48
0 52 12
0 53 73
0 54 24
0 55 85
0 56 84
0 57 43
0 58 29
0 59 83
0 60 45
0 61 51
0 62 90
0 63 26
0 64 73
0 65 100
0 66 85
0 67 96
0 68 22
0 69 28
0 70 35
0 71 57
0 72 83
0 73 2
0 74 85
0 75 55
0 76 56
0 77 81
0 78 14
0 79 53
0 80 55
0 81 69
0 82 9
0 83 50
0 84 53
0 85 55
0 86 75
0 87 67
0 88 97
0 89 42
0 90 48
0 91 87
0 92 47
0 93 43
0 94 72
0 95 49
0 96 71
0 97 58
0 98 15
0 99 64
0 100 13
0 101 65
0 102 42
0 103 94
0 104 75
0 105 88
0 106 32
0 107 9
0 108 81
0 109 66
0 110 79
0 111 33
0 112 64
0 113 26
0 114 78
0 115 72
0 116 63
0 117 97
0 118 83
0 119 17
1 2 96
1 3 51
1 4 72
1 5 60
1 6 65
1 7 25
1 8 30
1 9 35
1 10 45
1 11 83
1 12 99
1 13 91
1 14 25
1 15 73
1 16 4
1 17 50
1 18 34
1 19 34
1 20 5
1 21 85
1 22 92
1 23 92
1 24 11
1 25 28
1 26 80
1 27 69
1 28 78
1 29 25
1 30 61
1 31 40
1 32 79
1 33 5
1 34 32
1 35 31
1 36 35
1 37 44
1 38 1
1 39 91
1 40 5
1 41 96
1 42 53
1 43 45
1 44 11
1 45 74
1 46 42
1 47 4
1 48 33
1 49 35
1 50 8
1 51 78
1 52 95
1 53 72
1 54 5
1 55 20
1 56 68
1 57 95
1 58 85
1 59 35
1 60 15
1 61 26
1 62 64
1 63 100
1 64 68
1 65 9
1 66 84
1 67 46
1 68 29
1 69 26
1 70 48
1 71 37
1 72 15
1 73 38
1 74 96
1 75 7
1 76 60
1 77 98
1 78 49
1 79 22
1 80 30
1 81 65
1 82 41
1 83 89
1 84 7
1 85 3
1 86 31
1 87 84
1 88 5
1 89 67
1 90 12
1 91 93
1 92 77
1 93 48
1 94 66
1 95 25
1 96 26
1 97 83
1 98 57
1 99 56
1 100 73
1 101 7
1 102 25
1 103 80
1 104 36
1 105 33
1 106 40
1 107 2
1 108 26
1 109 6
1 110 87
1 111 22
1 112 81
1 113 75
1 114 71
1 115 25
1 116 93
1 117 86
1 118 94
1 119 5
2 3 60
2 4 90
2 5 31
2 6 14
2 7 40
2 8 82
