120 7140
0 1 33
0 2 38
0 3 84
0 4 42
0 5 15
0 6 57
0 7 11
0 8 40
0 9 91
0 10 9
0 11 73
0 12 27
0 13 9
0 14 77
0 15 8
0 16 95
0 17 25
0 18 12
0 19 81
0 20 86
0 21 42
0 22 29
0 23 61
0 24 88
0 25 80
0 26 26
0 27 47
0 28 16
0 29 81
0 30 82
0 31 50
0 32 28
0 33 30
0 34 51
0 35 51
0 36 62
0 37 85
0 38 39
0 39 2
0 40 21
0 41 16
0 42 7
0 43 5
0 44 38
0 45 27
0 46 40
0 47 46
0 48 74
0 49 74
0 50 99
0 51 59
0 52 67
0 53 82
0 54 36
0 55 11
0 56 74
0 57 28
0 58 91
0 59 57
0 60 45
0 61 50
0 62 88
0 63 45
0 64 92
0 65 41
0 66 86
0 67 28
0 68 91
0 69 2
0 70 11
0 71 17
0 72 22
0 73 25
0 74 96
0 75 49
0 76 82
0 77 14
0 78 65
0 79 97
0 80 64
0 81 5
0 82 86
0 83 26
0 84 64
0 85 67
0 86 48
0 87 38
0 88 42
0 89 83
0 90 76
0 91 19
0 92 4
0 93 43
0 94 52
0 95 80
0 96 93
0 97 86
0 98 55
0 99 69
0 100 17
0 101 27
0 102 9
0 103 80
0 104 95
0 105 1
0 106 93
0 107 9
0 108 89
0 109 56
0 110 76
0 111 66
0 112 30
0 113 38
0 114 39
0 115 62
0 116 74
0 117 44
0 118 54
0 119 74
1 2 45
1 3 47
1 4 55
1 5 75
1 6 93
1 7 82
1 8 66
1 9 60
1 10 35
1 11 92
1 12 92
1 13 88
1 14 88
1 15 92
1 16 29
1 17 4
1 18 93
1 19 94
1 20 41
1 21 53
1 22 87
1 23 6
1 24 74
1 25 95
1 26 99
1 27 56
1 28 44
1 29 7
1 30 81
1 31 26
1 32 24
1 33 64
1 34 6
1 35 9
1 36 4
1 37 79
1 38 89
1 39 73
1 40 94
1 41 13
1 42 24
1 43 17
1 44 8
1 45 77
1 46 23
1 47 27
1 48 74
1 49 85
1 50 91
1 51 53
1 52 78
1 53 16
1 54 45
1 55 40
1 56 66
1 57 55
1 58 74
1 59 68
1 60 28
1 61 89
1 62 42
1 63 29
1 64 69
1 65 74
1 66 50
1 67 65
1 68 88
1 69 74
1 70 93
1 71 11
1 72 16
1 73 87
1 74 33
1 75 62
1 76 74
1 77 60
1 78 43
1 79 94
1 80 99
1 81 61
1 82 54
1 83 76
1 84 30
1 85 75
1 86 15
1 87 68
1 88 21
1 89 38
1 90 50
1 91 99
1 92 54
1 93 83
1 94 34
1 95 35
1 96 68
1 97 95
1 98 90
1 99 56
1 100 35
