40 780
0 1 4
0 2 96
0 3 63
0 4 63
0 5 2
0 6 66
0 7 38
0 8 83
0 9 44
0 10 16
0 11 80
0 12 38
0 13 11
0 14 97
0 15 77
0 16 8
0 17 95
0 18 88
0 19 90
0 20 7
0 21 71
0 22 29
0 23 98
0 24 39
0 25 17
0 26 42
0 27 77
0 28 41
0 29 55
0 30 97
0 31 66
0 32 73
0 33 40
0 34 48
0 35 50
0 36 38
0 37 10
0 38 12
0 39 64
1 2 98
1 3 17
1 4 11
1 5 96
1 6 50
1 7 97
1 8 67
1 9 40
1 10 19
1 11 29
1 12 24
1 13 95
1 14 7
1 15 5
1 16 18
1 17 96
1 18 17
1 19 87
1 20 91
1 21 91
1 22 27
1 23 89
1 24 64
1 25 46
1 26 90
1 27 84
1 28 96
1 29 4
1 30 43
1 31 38
1 32 88
1 33 74
1 34 1
1 35 82
1 36 78
1 37 73
1 38 64
1 39 38
2 3 87
2 4 80
2 5 42
2 6 53
2 7 50
2 8 27
2 9 71
2 10 27
2 11 72
2 12 14
2 13 55
2 14 29
2 15 52
2 16 27
2 17 38
2 18 92
2 19 97
2 20 9
2 21 6
2 22 61
2 23 8
2 24 30
2 25 48
2 26 25
2 27 63
2 28 11
2 29 100
2 30 28
2 31 35
2 32 12
2 33 97
2 34 33
2 35 13
2 36 19
2 37 26
2 38 35
2 39 100
3 4 17
3 5 10
3 6 26
3 7 88
3 8 98
3 9 21
3 10 57
3 11 25
3 12 3
3 13 58
3 14 15
3 15 1
3 16 95
3 17 28
3 18 45
3 19 65
3 20 45
3 21 31
3 22 70
3 23 51
3 24 71
3 25 83
3 26 68
3 27 22
3 28 1
3 29 64
3 30 24
3 31 19
3 32 56
3 33 75
3 34 59
3 35 58
3 36 83
3 37 46
3 38 17
3 39 50
4 5 26
4 6 94
4 7 63
4 8 87
4 9 40
4 10 86
4 11 9
4 12 33
4 13 94
4 14 2
4 15 79
4 16 71
4 17 82
4 18 91
4 19 60
4 20 66
4 21 55
4 22 83
4 23 43
4 24 59
4 25 35
4 26 96
4 27 49
4 28 9
4 29 12
4 30 26
4 31 28
4 32 98
4 33 11
4 34 72
4 35 26
4 36 86
4 37 86
4 38 13
4 39 95
5 6 19
5 7 88
5 8 81
5 9 22
5 10 24
5 11 46
5 12 25
5 13 14
5 14 3
5 15 50
5 16 84
5 17 2
5 18 85
5 19 15
5 20 74
5 21 89
5 22 100
5 23 99
5 24 78
5 25 29
5 26 7
5 27 38
5 28 17
5 29 40
5 30 37
5 31 18
5 32 83
5 33 43
5 34 51
5 35 32
5 36 34
5 37 84
5 38 10
5 39 84
6 7 31
6 8 100
6 9 50
6 10 27
6 11 100
6 12 6
6 13 65
6 14 63
6 15 72
6 16 26
6 17 29
6 18 12
6 19 56
6 20 88
6 21 26
6 22 71
6 23 30
6 24 44
6 25 83
6 26 28
6 27 98
6 28 49
6 29 39
6 30 26
6 31 98
6 32 73
6 33 5
6 34 55
6 35 64
6 36 70
6 37 42
6 38 56
6 39 85
7 8 84
7 9 23
7 10 23
7 11 45
7 12 54
7 13 80
7 14 87
7 15 70
7 16 47
7 17 70
7 18 87
7 19 29
7 20 92
7 21 8
7 22 52
7 23 66
7 24 40
7 25 9
7 26 45
7 27 29
7 28 56
7 29 18
7 30 93
7 31 80
7 32 54
7 33 72
7 34 88
7 35 63
7 36 39
7 37 92
7 38 76
7 39 6
8 9 24
8 10 33
8 11 3
8 12 66
8 13 95
8 14 24
8 15 24
8 16 30
8 17 99
8 18 80
8 19 56
8 20 52
8 21 61
8 22 51
8 23 73
8 24 56
8 25 9
8 26 29
8 27 52
8 28 67
8 29 21
8 30 25
8 31 48
8 32 68
8 33 3
8 34 17
8 35 4
8 36 72
8 37 5
8 38 64
8 39 51
9 10 65
9 11 88
9 12 97
9 13 64
9 14 59
9 15 95
9 16 16
9 17 81
9 18 56
9 19 83
9 20 14
9 21 18
9 22 18
9 23 1
9 24 55
9 25 88
9 26 92
9 27 59
9 28 100
9 29 70
9 30 41
9 31 46
9 32 93
9 33 34
9 34 16
9 35 53
9 36 63
9 37 69
9 38 71
9 39 22
10 11 18
10 12 52
10 13 92
10 14 58
10 15 72
10 16 88
10 17 42
10 18 31
10 19 2
10 20 52
10 21 37
10 22 79
10 23 88
10 24 19
10 25 97
10 26 93
10 27 93
10 28 93
10 29 70
10 30 35
10 31 76
10 32 47
10 33 18
10 34 42
10 35 54
10 36 64
10 37 79
10 38 88
10 39 8
11 12 17
11 13 1
11 14 91
11 15 56
11 16 99
11 17 47
11 18 91
11 19 44
11 20 51
11 21 26
11 22 47
11 23 55
11 24 39
11 25 89
11 26 57
11 27 56
11 28 5
11 29 51
11 30 63
11 31 71
11 32 19
11 33 3
11 34 87
11 35 50
11 36 38
11 37 29
11 38 95
11 39 94
12 13 11
12 14 82
12 15 3
12 16 16
12 17 87
12 18 68
12 19 91
12 20 74
12 21 32
12 22 41
12 23 21
12 24 99
12 25 93
12 26 38
12 27 21
12 28 33
12 29 55
12 30 33
12 31 72
12 32 35
12 33 80
12 34 93
12 35 87
12 36 68
12 37 27
12 38 22
12 39 23
13 14 34
13 15 46
13 16 71
13 17 67
13 18 57
13 19 99
13 20 97
13 21 69
13 22 96
13 23 96
13 24 88
13 25 61
13 26 48
13 27 48
13 28 13
13 29 60
13 30 31
13 31 80
13 32 84
13 33 21
13 34 47
13 35 39
13 36 65
13 37 37
13 38 59
13 39 99
14 15 64
14 16 29
14 17 48
14 18 89
14 19 30
14 20 36
14 21 9
14 22 52
14 23 71
14 24 44
14 25 68
14 26 94
14 27 54
14 28 54
14 29 13
14 30 74
14 31 6
14 32 8
14 33 57
14 34 89
14 35 84
14 36 94
14 37 20
14 38 40
14 39 96
15 16 64
15 17 88
15 18 68
15 19 20
15 20 52
15 21 82
15 22 15
15 23 25
15 24 53
15 25 94
15 26 97
15 27 70
15 28 79
15 29 41
15 30 36
15 31 25
15 32 95
15 33 20
15 34 31
15 35 37
15 36 75
15 37 37
15 38 37
15 39 61
16 17 20
16 18 42
16 19 41
16 20 100
16 21 26
16 22 48
16 23 38
16 24 14
16 25 97
16 26 26
16 27 65
16 28 85
16 29 18
16 30 8
16 31 92
16 32 54
16 33 66
16 34 5
16 35 95
16 36 77
16 37 100
16 38 8
16 39 61
17 18 36
17 19 48
17 20 96
17 21 44
17 22 3
17 23 72
17 24 60
17 25 74
17 26 100
17 27 1
17 28 28
17 29 69
17 30 19
17 31 72
17 32 1
17 33 63
17 34 59
17 35 2
17 36 15
17 37 61
17 38 83
17 39 74
18 19 72
18 20 4
18 21 41
18 22 92
18 23 16
18 24 8
18 25 55
18 26 32
18 27 2
18 28 55
18 29 73
18 30 94
18 31 51
18 32 47
18 33 19
18 34 39
18 35 32
18 36 7
18 37 64
18 38 74
18 39 16
19 20 73
19 21 90
19 22 47
19 23 53
19 24 83
19 25 81
19 26 68
19 27 43
19 28 27
19 29 42
19 30 59
19 31 93
19 32 33
19 33 81
19 34 100
19 35 30
19 36 59
19 37 45
19 38 56
19 39 25
20 21 60
20 22 34
20 23 65
20 24 46
20 25 56
20 26 66
20 27 7
20 28 52
20 29 7
20 30 53
20 31 95
20 32 31
20 33 76
20 34 55
20 35 8
20 36 37
20 37 60
20 38 45
20 39 19
21 22 93
21 23 58
21 24 50
21 25 71
21 26 95
21 27 63
21 28 76
21 29 52
21 30 6
21 31 27
21 32 1
21 33 23
21 34 98
21 35 87
21 36 67
21 37 78
21 38 93
21 39 22
22 23 53
22 24 47
22 25 8
22 26 4
22 27 95
22 28 71
22 29 22
22 30 26
22 31 17
22 32 13
22 33 42
22 34 58
22 35 20
22 36 17
22 37 22
22 38 5
22 39 75
23 24 46
23 25 65
23 26 4
23 27 64
23 28 82
23 29 5
23 30 71
23 31 61
23 32 23
23 33 32
23 34 15
23 35 76
23 36 51
23 37 48
23 38 100
23 39 44
24 25 5
24 26 48
24 27 62
24 28 22
24 29 32
24 30 84
24 31 62
24 32 94
24 33 3
24 34 5
24 35 96
24 36 76
24 37 88
24 38 95
24 39 65
25 26 84
25 27 33
25 28 23
25 29 3
25 30 31
25 31 28
25 32 59
25 33 15
25 34 6
25 35 15
25 36 47
25 37 92
25 38 55
25 39 35
26 27 5
26 28 92
26 29 100
26 30 41
26 31 86
26 32 7
26 33 95
26 34 58
26 35 7
26 36 30
26 37 49
26 38 85
26 39 50
27 28 5
27 29 81
27 30 85
27 31 71
27 32 89
27 33 44
27 34 84
27 35 33
27 36 8
27 37 25
27 38 79
27 39 62
28 29 25
28 30 52
28 31 40
28 32 15
28 33 5
28 34 55
28 35 85
28 36 54
28 37 51
28 38 41
28 39 85
29 30 49
29 31 85
29 32 70
29 33 3
29 34 71
29 35 4
29 36 26
29 37 72
29 38 36
29 39 67
30 31 39
30 32 37
30 33 79
30 34 70
30 35 46
30 36 5
30 37 7
30 38 59
30 39 19
31 32 15
31 33 42
31 34 20
31 35 83
31 36 21
31 37 79
31 38 35
31 39 92
32 33 44
32 34 26
32 35 61
32 36 80
32 37 23
32 38 61
32 39 17
33 34 91
33 35 33
33 36 56
33 37 37
33 38 74
33 39 36
34 35 54
34 36 65
34 37 17
34 38 11
34 39 6
35 36 79
35 37 88
35 38 46
35 39 19
36 37 87
36 38 35
36 39 46
37 38 21
37 39 13
38 39 30
